_,NafnLids,Skor
_,Lid1,17:51
_,Lid2,14:00
_,Lid3,12:56
_,Lid4,06:06
_,Lid5,07:19
_,Lid6,05:54
_,Lid7,20:00
_,Lid8,05:24
_,Lid9,14:51
_,Lid10,08:57
_,Lid11,05:57
_,Lid12,20:27
_,Lid13,14:17
_,Lid14,07:01
_,Lid15,20:32
_,Lid16,07:48
_,Lid17,11:27
_,Lid18,07:19
_,Lid19,18:59
_,Lid20,17:24
_,Lid21,16:58
_,Lid22,20:01
_,Lid23,14:02
_,Lid24,19:04
_,Lid25,12:48
_,Lid26,16:40
_,Lid27,08:43
_,Lid28,12:39
_,Lid29,07:60
_,Lid30,17:46
_,Lid31,20:11
_,Lid32,05:18
_,Lid33,09:56
_,Lid34,11:42
_,Lid35,06:50
_,Lid36,17:08
_,Lid37,19:00
_,Lid38,06:59
_,Lid39,12:50
_,Lid40,07:18
_,Lid41,11:21
_,Lid42,07:03
_,Lid43,19:35
_,Lid44,19:40
_,Lid45,12:53
_,Lid46,11:45
_,Lid47,07:12
_,Lid48,19:36
_,Lid49,11:12
_,Lid50,14:57
_,Lid51,20:31
_,Lid52,06:30
_,Lid53,12:48
