_,NafnLids,Skor
_,Lid1,11:54
_,Lid2,15:29
_,Lid3,09:33
_,Lid4,11:18
_,Lid5,08:04
_,Lid6,15:35
_,Lid7,11:24
_,Lid8,09:48
_,Lid9,08:19
_,Lid10,06:04
_,Lid11,19:06
_,Lid12,06:11
_,Lid13,09:27
_,Lid14,06:44
_,Lid15,05:20
_,Lid16,09:33
_,Lid17,09:48
_,Lid18,10:05
_,Lid19,20:25
_,Lid20,18:09
_,Lid21,12:03
_,Lid22,14:47
_,Lid23,11:00
_,Lid24,10:24
_,Lid25,13:07
_,Lid26,15:40
_,Lid27,14:52
_,Lid28,15:39
_,Lid29,18:33
_,Lid30,16:51
_,Lid31,14:36
_,Lid32,18:02
_,Lid33,11:38
_,Lid34,20:47
_,Lid35,12:34
_,Lid36,18:35
_,Lid37,09:11
_,Lid38,09:40
_,Lid39,14:14
_,Lid40,15:53
_,Lid41,12:20
_,Lid42,13:15
_,Lid43,08:31
_,Lid44,20:51
_,Lid45,14:06
_,Lid46,16:30
_,Lid47,18:20
_,Lid48,17:35
_,Lid49,17:50
_,Lid50,15:07
_,Lid51,06:44
_,Lid52,17:42
_,Lid53,13:44
