_,NafnLids,Skor
_,Lid1,138
_,Lid2,71
_,Lid3,77
_,Lid4,138
_,Lid5,126
_,Lid6,78
_,Lid7,112
_,Lid8,109
_,Lid9,85
_,Lid10,79
_,Lid11,86
_,Lid12,122
_,Lid13,104
_,Lid14,117
_,Lid15,112
_,Lid16,85
_,Lid17,98
_,Lid18,71
_,Lid19,130
_,Lid20,144
_,Lid21,129
_,Lid22,111
_,Lid23,78
_,Lid24,114
_,Lid25,140
_,Lid26,71
_,Lid27,126
_,Lid28,129
_,Lid29,98
_,Lid30,83
_,Lid31,120
_,Lid32,77
_,Lid33,84
_,Lid34,98
_,Lid35,87
_,Lid36,135
_,Lid37,143
_,Lid38,73
_,Lid39,130
_,Lid40,126
_,Lid41,82
_,Lid42,77
_,Lid43,128
_,Lid44,73
_,Lid45,71
_,Lid46,101
_,Lid47,146
_,Lid48,90
_,Lid49,131
_,Lid50,145
_,Lid51,70
_,Lid52,81
_,Lid53,84
