_,NafnLids,Skor
_,Lid1,10:51
_,Lid2,09:54
_,Lid3,06:50
_,Lid4,18:59
_,Lid5,13:47
_,Lid6,18:33
_,Lid7,15:44
_,Lid8,05:14
_,Lid9,19:29
_,Lid10,16:05
_,Lid11,07:47
_,Lid12,07:51
_,Lid13,17:05
_,Lid14,14:31
_,Lid15,08:05
_,Lid16,13:59
_,Lid17,20:52
_,Lid18,06:00
_,Lid19,17:44
_,Lid20,19:25
_,Lid21,08:35
_,Lid22,15:45
_,Lid23,15:58
_,Lid24,11:04
_,Lid25,16:13
_,Lid26,13:12
_,Lid27,05:28
_,Lid28,15:18
_,Lid29,19:59
_,Lid30,18:53
_,Lid31,13:39
_,Lid32,15:03
_,Lid33,06:33
_,Lid34,18:26
_,Lid35,08:50
_,Lid36,16:31
_,Lid37,15:42
_,Lid38,12:34
_,Lid39,06:13
_,Lid40,11:23
_,Lid41,12:21
_,Lid42,16:29
_,Lid43,17:60
_,Lid44,07:06
_,Lid45,19:11
_,Lid46,15:37
_,Lid47,15:15
_,Lid48,14:53
_,Lid49,12:28
_,Lid50,07:37
_,Lid51,10:37
_,Lid52,06:52
_,Lid53,07:17
