_,NafnLids,Skor
_,Lid1,142
_,Lid2,74
_,Lid3,113
_,Lid4,77
_,Lid5,124
_,Lid6,127
_,Lid7,116
_,Lid8,83
_,Lid9,150
_,Lid10,89
_,Lid11,101
_,Lid12,120
_,Lid13,81
_,Lid14,98
_,Lid15,137
_,Lid16,137
_,Lid17,95
_,Lid18,115
_,Lid19,117
_,Lid20,74
_,Lid21,145
_,Lid22,77
_,Lid23,135
_,Lid24,140
_,Lid25,149
_,Lid26,82
_,Lid27,106
_,Lid28,76
_,Lid29,77
_,Lid30,78
_,Lid31,141
_,Lid32,95
_,Lid33,144
_,Lid34,134
_,Lid35,91
_,Lid36,99
_,Lid37,126
_,Lid38,139
_,Lid39,81
_,Lid40,133
_,Lid41,79
_,Lid42,72
_,Lid43,139
_,Lid44,138
_,Lid45,106
_,Lid46,131
_,Lid47,91
_,Lid48,85
_,Lid49,114
_,Lid50,144
_,Lid51,76
_,Lid52,116
_,Lid53,124
