NafnLids,Skor,Stig
Lid9,5.17,200
Lid5,6.11,195
Lid11,6.28,190
Lid13,6.33,185
Lid21,6.45,180
Lid10,7.42,175
Lid26,8.0,170
Lid34,9.08,165
Lid1,9.38,160
Lid27,9.56,155
Lid15,9.59,150
Lid16,9.59,150
Lid6,10.07,140
Lid8,10.18,135
Lid35,10.28,130
Lid7,10.34,125
Lid29,11.0,120
Lid33,11.53,115
Lid24,12.14,110
Lid2,12.51,105
Lid12,12.57,100
Lid3,13.01,95
Lid32,13.06,90
Lid4,14.21,85
Lid28,14.42,80
Lid14,15.19,75
Lid18,15.28,70
Lid19,15.32,65
Lid22,17.15,60
Lid0,17.47,55
Lid30,18.21,50
Lid23,19.37,45
Lid31,19.45,40
Lid25,20.02,35
Lid20,20.25,30
Lid17,20.53,25
