NafnLids,Skor,Stig
Lid35,148.0,200
Lid28,145.0,195
Lid25,145.0,195
Lid8,131.0,185
Lid29,128.0,180
Lid11,126.0,175
Lid9,123.0,170
Lid20,122.0,165
Lid10,118.0,160
Lid14,112.0,155
Lid1,112.0,155
Lid34,110.0,145
Lid27,108.0,140
Lid18,105.0,135
Lid16,104.0,130
Lid17,102.0,125
Lid23,102.0,125
Lid24,97.0,115
Lid22,95.0,110
Lid3,93.0,105
Lid21,91.0,100
Lid33,91.0,100
Lid26,89.0,90
Lid4,89.0,90
Lid32,88.0,80
Lid12,88.0,80
Lid15,86.0,70
Lid0,83.0,65
Lid5,81.0,60
Lid19,78.0,55
Lid31,78.0,55
Lid6,75.0,45
Lid13,73.0,40
Lid7,72.0,35
Lid30,72.0,35
Lid2,71.0,25
