_,NafnLids,Skor
_,Lid0,08:58
_,Lid1,14:53
_,Lid2,09:52
_,Lid3,12:48
_,Lid4,20:46
_,Lid5,18:22
_,Lid6,11:60
_,Lid7,13:56
_,Lid8,19:07
_,Lid9,08:48
_,Lid10,14:18
_,Lid11,12:12
_,Lid12,15:06
_,Lid13,14:54
_,Lid14,12:07
_,Lid15,08:32
_,Lid16,14:17
_,Lid17,16:12
_,Lid18,12:25
_,Lid19,11:37
_,Lid20,13:50
_,Lid21,12:01
_,Lid22,13:43
_,Lid23,05:57
_,Lid24,16:42
_,Lid25,06:46
_,Lid26,19:01
_,Lid27,06:38
_,Lid28,18:27
_,Lid29,10:47
_,Lid30,12:36
_,Lid31,18:10
_,Lid32,13:14
_,Lid33,11:10
_,Lid34,14:23
_,Lid35,18:19
_,Lid36,11:52
_,Lid37,10:28
_,Lid38,06:58
_,Lid39,14:45
_,Lid40,16:15
_,Lid41,16:45
_,Lid42,06:52
_,Lid43,08:18
_,Lid44,17:58
_,Lid45,14:16
_,Lid46,05:12
_,Lid47,17:01
_,Lid48,20:23
