NafnLids,Skor,Stig
Lid24,149.0,200
Lid27,148.0,195
Lid7,147.0,190
Lid21,142.0,185
Lid0,138.0,180
Lid15,137.0,175
Lid26,136.0,170
Lid32,136.0,170
Lid3,133.0,160
Lid28,126.0,155
Lid8,117.0,150
Lid35,117.0,150
Lid10,115.0,140
Lid9,111.0,135
Lid19,109.0,130
Lid18,105.0,125
Lid11,96.0,120
Lid34,93.0,115
Lid17,93.0,115
Lid20,92.0,105
Lid1,92.0,105
Lid12,87.0,95
Lid25,85.0,90
Lid33,84.0,85
Lid29,82.0,80
Lid31,82.0,80
Lid22,81.0,70
Lid2,80.0,65
Lid14,79.0,60
Lid13,79.0,60
Lid16,78.0,50
Lid4,75.0,45
Lid5,71.0,40
Lid23,71.0,40
Lid30,71.0,40
Lid6,70.0,25
