NafnLids,Skor,Stig
The beginners,8.32,100
Alma & Davíð,8.49,95
Team XY,8.54,90
Tall&Tiny,8.59,85
Team Ginger,9.0,80
Booty and the beast,9.02,75
Janus,9.12,70
IceLatte,9.22,65
Endurance álfarnir,9.28,60
Birta og Guðrún,10.55,55
B5/F6,11.04,50
Dr. Cardio,11.11,45
Ágætar,11.32,40
Best of the best,11.56,35
Lion King,11.59,30
Speed power banana,12.05,25
Hafdís og Lína,12.09,20
Pjöllur,12.42,15
Tvær tuskur,13.1,10
A Team,13.16,5
AA,30.0,0.0
Stuttur og Styttri,30.0,0.0
Dagbjört og Ómar,15.1,0.0
Valgerður og selma,15.06,0.0
Eva & Telma,14.05,0.0
Aron&Grímur,15.3,0.0
Brynja og Snorri,14.02,0
