NafnLids,Skor,Stig
Team Ginger,10.4,100
Alma & Davíð,11.02,95
Tall&Tiny,11.02,95
Speed power banana,11.46,85
IceLatte,11.56,80
The beginners,12.03,75
Best of the best,12.13,70
Endurance álfarnir,12.32,65
Team XY,12.51,60
AA,13.01,55
Janus,13.15,50
Booty and the beast,13.28,45
Pjöllur,13.45,40
Stuttur og Styttri,13.56,35
Birta og Guðrún,14.26,30
B5/F6,14.36,25
Dagbjört og Ómar,14.52,20
Lion King,15.05,15
Hafdís og Lína,15.17,10
A Team,15.23,5
Dr. Cardio,17.22,0
Ágætar,17.4,0.0
Tvær tuskur,469.0,0.0
Valgerður og selma,17.33,0.0
Eva & Telma,17.5,0.0
Aron&Grímur,17.35,0.0
Brynja og Snorri,19.27,0.0
