NafnLids,Skor,Stig
Team XY,265.55,100
Janus,260.0,95
The beginners,255.0,90
Booty and the beast,250.0,85
Alma & Davíð,248.7,80
Team Ginger,230.0,75
Tall&Tiny,228.8,70
B5/F6,227.25,65
IceLatte,225.0,60
Dr. Cardio,218.08,55
Lion King,210.0,50
Birta og Guðrún,205.97,45
Speed power banana,193.05,40
Ágætar,193.0,35
Endurance álfarnir,189.3,30
Pjöllur,178.76,25
A Team,175.175,20
Hafdís og Lína,171.6,15
Tvær tuskur,171.6,15
Best of the best,169.37,5
AA,10.0,0.0
Stuttur og Styttri,10.0,0.0
Dagbjört og Ómar,133.65,0.0
Valgerður og selma,150.15,0
Eva & Telma,125.0,0.0
Aron&Grímur,150.0,0.0
Brynja og Snorri,148.6,0.0
