_,NafnLids,Skor
_,Þreyttir.is,128
_,Hung over redhead man og Diljá besta,72
_,DILFS,74
_,Festive bois,90
_,Það eru ekki alltaf jólin,149
_,Crusier Kings,110
_,Alex Ferguson,100
_,slimpossible,94
_,Endurance álfarnir,84
_,Berlínarbollurnar,127
_,Staðan?,71
_,BMB & LÞB,86
_,Kleinur,100
_,if it ain't broke don't fix it,138
_,Team Ginger,101
_,Team Model Fitness,113
_,Bollurnar,127
_,Flugfreyjurnar,113
_,Beygja og Bekkur,109
_,Actuar bandið,108
_,Team Awesome,133
_,Fjallageitur,72
_,Chubby No More's,132
_,Double trouble,121
_,Milfs,136
_,Geiturnar,119
_,AA,140
_,Villikettirnir,118
_,Ung og efnileg,101
_,K og H,98
_,Hrundskin,143
_,The Last Dance,104
_,Einar & Ingibjörg,98
_,Lexi og Simmi,109
