_,NafnLids,Skor
_,Lid0,149
_,Lid1,73
_,Lid2,72
_,Lid3,121
_,Lid4,82
_,Lid5,113
_,Lid6,139
_,Lid7,87
_,Lid8,128
_,Lid9,91
_,Lid10,148
_,Lid11,110
_,Lid12,71
_,Lid13,94
_,Lid14,78
_,Lid15,127
_,Lid16,117
_,Lid17,135
_,Lid18,98
_,Lid19,94
_,Lid20,138
_,Lid21,70
_,Lid22,137
_,Lid23,70
_,Lid24,76
_,Lid25,97
_,Lid26,116
_,Lid27,115
_,Lid28,84
_,Lid29,95
_,Lid30,148
_,Lid31,89
_,Lid32,89
_,Lid33,111
_,Lid34,102
_,Lid35,93
_,Lid36,113
_,Lid37,75
_,Lid38,92
_,Lid39,76
_,Lid40,141
_,Lid41,83
