_,NafnLids,Skor
_,Þreyttir.is,11:07
_,Hung over redhead man og Diljá besta,20:19
_,DILFS,05:01
_,Festive bois,08:22
_,Það eru ekki alltaf jólin,07:60
_,Crusier Kings,17:51
_,Alex Ferguson,07:23
_,slimpossible,18:10
_,Endurance álfarnir,09:37
_,Berlínarbollurnar,19:02
_,Staðan?,14:12
_,BMB & LÞB,19:03
_,Kleinur,17:02
_,if it ain't broke don't fix it,08:38
_,Team Ginger,17:42
_,Team Model Fitness,08:29
_,Bollurnar,05:37
_,Flugfreyjurnar,06:36
_,Beygja og Bekkur,09:38
_,Actuar bandið,07:41
_,Team Awesome,20:17
_,Fjallageitur,10:15
_,Chubby No More's,18:18
_,Double trouble,07:39
_,Milfs,12:23
_,Geiturnar,15:40
_,AA,20:42
_,Villikettirnir,17:08
_,Ung og efnileg,19:56
_,K og H,15:05
_,Hrundskin,12:57
_,The Last Dance,09:44
_,Einar & Ingibjörg,13:39
_,Lexi og Simmi,16:43
