NafnLids,Skor,Stig
Team Ginger,10.42,100
Staðan?,10.46,95
Geiturnar,10.54,90
DILFS,11.29,85
The Last Dance,11.43,80
Festive bois,11.49,75
Einar & Ingibjörg,11.51,70
AA,12.0,65
slimpossible,12.08,60
Endurance álfarnir,12.1,55
if it ain't broke don't fix it,12.11,50
Það eru ekki alltaf jólin,12.23,45
Team Model Fitness,12.25,40
Beygja og Bekkur,12.55,35
Ung og efnileg,13.25,30
Kleinur,13.26,25
Double trouble,13.34,20
Hrundskin,13.41,15
Flugfreyjurnar,13.54,10
Berlínarbollurnar,13.55,5
Fjallageitur,15.0,0
Crusier Kings,0.0,0.0
Skjaldbakan og Hérinn,0.0,0.0
