NafnLids,Skor,Stig
DILFS,5.01,100
Flugfreyjurnar,6.36,95
Double trouble,7.39,90
Það eru ekki alltaf jólin,7.6,85
Festive bois,8.22,80
Team Model Fitness,8.29,75
if it ain't broke don't fix it,8.38,70
Endurance álfarnir,9.37,65
Beygja og Bekkur,9.38,60
The Last Dance,9.44,55
Fjallageitur,10.15,50
Hrundskin,12.57,45
Einar & Ingibjörg,13.39,40
Staðan?,14.12,35
Geiturnar,15.4,30
Kleinur,17.02,25
Team Ginger,17.42,20
Crusier Kings,17.51,15
slimpossible,18.1,10
Berlínarbollurnar,19.02,5
AA,20.42,0.0
Ung og efnileg,19.56,0
