NafnLids,Skor,Stig
Lid20,5.11,200
Lid10,6.38,195
Lid49,7.13,190
Lid15,7.16,185
Lid28,8.28,180
Lid48,8.52,175
Lid47,9.16,170
Lid53,9.55,165
Lid27,9.59,160
Lid22,9.6,155
Lid31,10.04,150
Lid13,10.13,145
Lid38,10.38,140
Lid44,10.39,135
Lid33,11.1,130
Lid21,11.1,130
Lid25,11.14,120
Lid30,11.41,115
Lid5,11.5,110
Lid9,11.55,105
Lid7,11.58,100
Lid40,12.19,95
Lid1,12.45,90
Lid8,13.0,85
Lid18,13.0,85
Lid32,13.08,75
Lid52,13.1,70
Lid19,13.35,65
Lid14,13.48,60
Lid23,13.59,55
Lid34,14.46,50
Lid24,14.52,45
Lid37,14.53,40
Lid26,15.21,35
Lid43,16.29,30
Lid50,17.05,25
Lid12,17.1,20
Lid42,17.25,15
Lid16,17.35,10
Lid6,18.03,5
Lid36,20.6,0.0
Lid2,20.25,0.0
Lid45,19.05,0.0
Lid29,20.26,0.0
Lid39,19.05,0.0
Lid35,20.45,0.0
Lid51,18.45,0.0
Lid46,18.54,0.0
Lid41,20.42,0.0
Lid11,20.14,0.0
Lid4,18.24,0
Lid3,20.47,0.0
Lid17,18.47,0.0
