NafnLids,Skor,Stig
Lid36,150.0,200
Lid16,147.0,195
Lid22,142.0,190
Lid41,142.0,190
Lid2,141.0,180
Lid5,141.0,180
Lid20,141.0,180
Lid14,140.0,165
Lid3,139.0,160
Lid1,134.0,155
Lid27,133.0,150
Lid18,131.0,145
Lid17,126.0,140
Lid29,126.0,140
Lid50,121.0,130
Lid33,120.0,125
Lid52,119.0,120
Lid13,116.0,115
Lid15,115.0,110
Lid38,115.0,110
Lid7,113.0,100
Lid53,113.0,100
Lid37,109.0,90
Lid25,107.0,85
Lid46,106.0,80
Lid45,105.0,75
Lid49,103.0,70
Lid32,102.0,65
Lid12,100.0,60
Lid48,99.0,55
Lid42,98.0,50
Lid34,97.0,45
Lid9,95.0,40
Lid23,94.0,35
Lid19,93.0,30
Lid39,93.0,30
Lid11,93.0,30
Lid31,93.0,30
Lid47,92.0,10
Lid28,90.0,5
Lid24,90.0,5
Lid6,72.0,0.0
Lid43,70.0,0.0
Lid35,86.0,0.0
Lid40,78.0,0.0
Lid21,81.0,0.0
Lid8,71.0,0.0
Lid10,73.0,0.0
Lid44,88.0,0.0
Lid4,78.0,0.0
Lid51,83.0,0.0
Lid26,84.0,0.0
Lid30,80.0,0.0
