NafnLids,Skor,Stig
Lid6,5.39,200
Lid36,5.49,195
Lid9,5.49,195
Lid37,6.26,185
Lid43,6.26,185
Lid31,6.41,175
Lid41,6.45,170
Lid2,7.14,165
Lid7,8.22,160
Lid33,8.26,155
Lid32,9.01,150
Lid49,9.11,145
Lid23,9.28,140
Lid10,9.4,135
Lid48,10.25,130
Lid26,10.4,125
Lid45,11.16,120
Lid40,11.37,115
Lid28,11.42,110
Lid14,11.53,105
Lid19,11.53,105
Lid13,12.09,95
Lid24,12.11,90
Lid35,12.15,85
Lid46,12.34,80
Lid8,12.39,75
Lid51,12.47,70
Lid15,12.49,65
Lid11,13.28,60
Lid17,13.35,55
Lid22,13.36,50
Lid42,13.58,45
Lid50,13.58,45
Lid25,14.07,35
Lid5,15.01,30
Lid53,15.11,25
Lid44,15.33,20
Lid3,16.17,15
Lid18,16.35,10
Lid20,16.41,5
Lid38,17.15,0
Lid16,17.29,0.0
Lid34,18.05,0.0
Lid27,18.44,0.0
Lid12,20.18,0.0
Lid1,17.5,0.0
Lid21,19.07,0.0
Lid39,19.02,0.0
Lid29,20.01,0.0
Lid47,19.33,0.0
Lid4,18.32,0.0
Lid30,19.22,0.0
Lid52,18.58,0.0
