NafnLids,Skor,Stig
Lid36,5.17,200
Lid11,5.36,195
Lid9,5.38,190
Lid6,5.59,185
Lid15,6.22,180
Lid17,6.28,175
Lid30,7.09,170
Lid21,8.24,165
Lid38,8.35,160
Lid34,8.4,155
Lid12,9.09,150
Lid37,9.19,145
Lid45,9.19,145
Lid2,9.29,135
Lid24,9.34,130
Lid35,9.36,125
Lid1,9.53,120
Lid5,9.55,115
Lid32,10.1,110
Lid44,10.49,105
Lid40,11.05,100
Lid7,11.11,95
Lid8,11.55,90
Lid4,12.07,85
Lid46,12.41,80
Lid33,12.46,75
Lid29,12.57,70
Lid50,12.58,65
Lid28,13.02,60
Lid16,13.27,55
Lid41,13.38,50
Lid42,13.53,45
Lid14,14.0,40
Lid13,14.15,35
Lid48,15.21,30
Lid23,15.48,25
Lid43,15.6,20
Lid51,16.48,15
Lid49,17.14,10
Lid10,17.22,5
Lid19,19.16,0.0
Lid27,17.45,0.0
Lid22,20.28,0.0
Lid39,19.5,0.0
Lid25,20.45,0.0
Lid18,19.06,0.0
Lid53,19.19,0.0
Lid20,17.31,0
Lid3,20.2,0.0
Lid31,19.36,0.0
Lid47,20.45,0.0
Lid26,19.23,0.0
Lid52,20.37,0.0
