NafnLids,Skor,Stig
Lid19,5.01,200
Lid23,5.13,195
Lid48,5.33,190
Lid33,5.56,185
Lid36,5.6,180
Lid5,6.11,175
Lid17,6.22,170
Lid12,7.01,165
Lid13,7.12,160
Lid2,8.1,155
Lid6,8.11,150
Lid9,8.59,145
Lid34,9.22,140
Lid15,9.29,135
Lid16,9.58,130
Lid10,10.03,125
Lid31,10.16,120
Lid39,10.17,115
Lid51,10.2,110
Lid27,10.3,105
Lid40,10.46,100
Lid44,10.48,95
Lid53,10.54,90
Lid43,10.6,85
Lid41,11.04,80
Lid20,11.05,75
Lid49,11.1,70
Lid37,11.12,65
Lid14,12.25,60
Lid25,12.41,55
Lid35,13.08,50
Lid45,13.18,45
Lid7,13.43,40
Lid22,14.24,35
Lid28,14.25,30
Lid29,14.32,25
Lid38,15.35,20
Lid18,15.4,15
Lid8,16.03,10
Lid4,17.31,5
Lid32,17.46,0.0
Lid46,20.08,0.0
Lid24,18.28,0.0
Lid1,18.25,0.0
Lid21,17.36,0
Lid11,18.05,0.0
Lid3,20.25,0.0
Lid42,20.14,0.0
Lid50,20.36,0.0
Lid47,18.03,0.0
Lid26,20.35,0.0
Lid30,18.38,0.0
Lid52,18.07,0.0
