_,NafnLids,Skor
_,Eva & Telma,13:03
_,Endurance álfarnir,11:19
_,Janus,10:28
_,Hafdís og Lína,12:34
_,Ágætar,11:47
_,Booty and the beast,10:40
_,B5/F6,11:55
_,Best of the best,11:04
_,IceLatte,10:33
_,AA,10:26
_,Aron&Grímur,14:11
_,Speed power banana,11:36
_,Pjöllur,11:15
_,Tvær tuskur,12:52
_,Alma & Davíð,10:22
_,Brynja og Snorri,14:04
_,Dr. Cardio,10:50
_,Lion King,12:25
_,Birta og Guðrún,10:31
_,Team Ginger,10:23
_,Team XY,9:30
_,Stuttur og Styttri,10:03
_,Dagbjört og Ómar,15:16
_,A Team,11:43
_,Tall&Tiny,9:21
_,The beginners,9:08
_,Valgerður og selma,11:53
