_,NafnLids,Skor
_,Eva & Telma,14:05
_,Endurance álfarnir,9:28
_,Janus,9:12
_,Hafdís og Lína,12:09
_,Ágætar,11:32
_,Booty and the beast,9:02
_,B5/F6,11:04
_,Best of the best,11:56
_,IceLatte,9:22
_,AA,30:00
_,Aron&Grímur,15:30
_,Speed power banana,12:05
_,Pjöllur,12:42
_,Tvær tuskur,13:10
_,Alma & Davíð,8:49
_,Brynja og Snorri,14:02
_,Dr. Cardio,11:11
_,Lion King,11:59
_,Birta og Guðrún,10:55
_,Team Ginger,9:00
_,Team XY,8:54
_,Stuttur og Styttri,30:00
_,Dagbjört og Ómar,15:10
_,A Team,13:16
_,Tall&Tiny,8:59
_,The beginners,8:32
_,Valgerður og selma,15:06
