_,NafnLids,Skor
_,Eva & Telma,125
_,Endurance álfarnir,189.3
_,Janus,260
_,Hafdís og Lína,171.6
_,Ágætar,193
_,Booty and the beast,250
_,B5/F6,227.25
_,Best of the best,169.37
_,IceLatte,225
_,AA,10.0
_,Aron&Grímur,150
_,Speed power banana,193.05
_,Pjöllur,178.76
_,Tvær tuskur,171.6
_,Alma & Davíð,248.7
_,Brynja og Snorri,148.6
_,Dr. Cardio,218.08
_,Lion King,210
_,Birta og Guðrún,205.97
_,Team Ginger,230
_,Team XY,265.55
_,Stuttur og Styttri,10.0
_,Dagbjört og Ómar,133.65
_,A Team,175.175
_,Tall&Tiny,228.8
_,The beginners,255
_,Valgerður og selma,150.15
